var,I,p_sim,z_norm
sachet_usage_2010,0.58579365577414,0.001,12.311771099876129
sachet_usage_2013,0.5913327517592565,0.001,12.427023483436255
sachet_usage_2017,0.6157619621326399,0.001,12.93532388689369
