var,I,p_sim,z_norm
sachet_usage_2010,0.3659519727568361,0.001,6.510511240448305
sachet_usage_2013,0.39065289935432895,0.001,4.921072229594218
sachet_usage_2017,0.42344568105637126,0.001,7.24359387941662
