"dist","sachet_usage_2010","sachet_usage_2013","sachet_usage_2017","HH_DENSITY_2010","HH_DENSITY_2013","HH_DENSITY_2017"
101,0.0484198318353146,0.428367745667502,0.2476913379192,2.2989667160171,21.8382932022439,20.3675599346655
102,0.127302275189599,0.42128096501388,0.325668472937883,1.84444863790461,28.379213781864,35.2776274716012
103,0.0479704797047971,0.145922861865206,0,1.25027179400572,24.2786447215177,19.9990204760762
104,0.103329506314581,0.535405755924241,0.411734050122425,4.76174751442704,42.4897795175734,40.8715838767573
105,0.0770959134952956,0.558192097814455,0.620933497826517,75.2047524040203,464.06460793735,677.792816889375
106,0.0105042016806723,0.263560743890642,0.174148155642071,9.84860640737101,84.7622169439625,141.13220654839
107,0.0414746543778802,0.0320740566362172,0.157688051036753,1.39572773384451,19.3474558229805,6.54322220035534
108,0.111162361623616,0.400677629160995,0.333177100086523,2.39573455611221,102.731146351186,37.0932097108568
109,0.0715778474399164,0.230559938541901,0.531881801517878,2.11648027974345,19.4175899349947,40.89277499423
110,0.0474649406688242,0.0152205239525169,0.303742787324467,1.06594869324719,18.0298447335059,12.7540082212442
111,0.0165313225058005,0.147925622419327,0.340640792474783,1.1086449012199,10.7006604690327,5.4482645721462
112,0.0294021561581183,0.130051664688544,0.220032932382442,1.02267819944158,12.0657678027322,13.9365263750246
113,0.0125786163522013,0.205922937832244,0.0707048028353114,1.56338969719123,8.54703330623489,9.04798514388865
114,0.0237617135207497,0.202437037800574,0.0717614951044831,2.95664622897316,40.2807844156451,46.8344751342993
115,0.00906125407756433,0.0921770390642992,0.169971818580201,3.311314020327,26.9994999952639,88.0976771595596
116,0.029040404040404,0.122510687069865,0,1.17119664695127,8.54939677776212,22.4542199233484
117,0.0158057054741712,0.118880277364562,0.0529548577505805,1.25801022081999,14.4035084748668,19.5963967606693
201,0.0421499292786421,0.0229475095672,0.395750222481673,7.84227913226003,70.0103738793483,104.41443093325
202,0.144554455445545,0.183923957988098,0.629485233379254,33.8277807330667,403.613812616697,443.129203482085
203,0.027043829654958,0.0127120992642391,0.132538586208684,17.1105959429206,71.8248516000262,100.146175139738
204,0.0388035569927243,0.154979586496492,0.214968661049089,2.17216087476876,66.520510735969,65.2333352402189
205,0.0202683414216386,0.107508065980976,0.185602063718143,6.7152347468068,51.8935775467465,61.3828461791838
206,0.0720443349753695,0.127298626212007,0.197388993788189,7.14381445271365,86.4445322557154,76.8145569215145
207,0.094712376525276,0.563321613422989,0.45635160104266,22.0638915556184,135.833491071429,277.591480022547
208,0.176984428408659,0.292449883450663,0.479867933244782,9.76285945110754,81.6211806642797,127.929390079124
209,0.241028966709901,0.617081347323207,0.397569854692531,13.1570581307192,238.639273941234,105.820433166675
210,0.021728861596599,0.109704665712202,0.246147979610605,6.45932688010621,64.7676569671439,50.0535382549845
211,0.0537597822388568,0.261022794452452,0.204383379426613,8.24231718254616,106.318234593962,83.9568241604447
212,0.0372281607077036,0.0739059539366617,0.0991751803372614,3.50900324659135,60.1709451770239,38.0932891562708
213,0.0275862068965517,0.0658307341580821,0.203282977200134,2.10616232119157,19.8955160931631,25.6081168942316
214,0.093646408839779,0.196597825265412,0.491711261436968,3.60166959569834,35.5490011275103,27.8752262904869
215,0.0277777777777778,0.0444797056559679,0.187330621595914,1.64566684156652,38.5791977914027,15.1983183761767
216,0.0439093484419263,0.0898485140382304,0.377069197494943,2.81320909513287,42.7524334761407,26.3017109836942
217,0.0162962962962963,0.0297291498694769,0.140657053456796,2.33159447184283,32.0789936940786,27.822133792623
301,0.27178695484369,0.750658455097471,0.67495535528657,35.6600645825005,316.406722716794,394.786145034462
302,0.634447025192067,0.888181339794556,0.960089525514448,17.1289454303353,224.611999389829,311.527925766481
303,0.581042511641881,0.931569063227333,0.865608596348434,43.3445468126679,689.611200425941,196.548818418696
304,0.277952787303613,0.741532207802112,0.876468062407209,284.113328169292,2503.72631308772,2913.99201588241
305,0.537226277372263,0.88230030469185,0.885235608854676,26.3154849219453,1324.16774205281,600.600770589512
306,0.239506172839506,0.503903027562616,0.904597100279742,128.22786855869,2303.97113853511,1845.52553553692
307,0.0683316683316683,0.469353509635185,0.637468971769616,255.134090660494,4968.57699811263,2184.29815917892
308,0.0734618916437098,0.496869361858984,0.740731919366452,29.7302351187916,440.837311832833,193.211741099837
309,0.0771581359816654,0.00628923781914155,0.731821310749381,1.63808079198374,21.2115031693432,14.0795092434774
310,0.151870873074101,0.418408963460144,0.285714285714286,4.51675964966658,41.9871343864158,8.3453906282021
401,0.00734214390602056,0.0932596009439641,0.174296903128203,3.19539056327595,27.5172232143327,50.9513266239534
402,0.0414904862579281,0.180187296811503,0.148520567975564,4.9127871267763,33.9731514553301,56.0330447360142
403,0.169093231162197,0.389464463716075,0.468281958079321,13.7162490337189,148.716725256647,202.014871270342
404,0.0256024096385542,0.0744484623578438,0.0646566379137113,6.15116557391101,56.0278473670815,64.2657678713457
405,0.0590173756740563,0.242145210088881,0.28613265498856,3.90022586393998,34.4557050644703,36.256409559502
406,0.0137204850031908,0.00399801149063642,0,1.72342835287142,21.9037445959192,8.63117638706531
407,0.014626635873749,0.0806513865490132,0,1.15822343180469,21.0673876392384,6.33400015920225
408,0.0167093383641019,0.124574891877135,0.138766128060525,4.13516311090313,36.628512751025,21.7909568034248
409,0.0101851851851852,0.171045703703594,0.135558814646906,3.00741343687883,36.7256091475315,26.3023852620784
410,0.0265822784810127,0.192787475371419,0.172179265994804,3.04340642145848,34.1192976127877,17.9190365212374
411,0.0191140776699029,0.113101998301715,0.136931768309181,6.38794382304151,48.7642910472825,33.0815960446218
412,0.00660501981505945,0.208102363422645,0.0247341623073664,1.36559360296268,18.0780284248499,11.9798912011766
413,0.0381625441696113,0.189402438350407,0.126949601028106,2.5267329550851,20.5921953240063,25.1996705420139
414,0.00526711813393529,0.206038407419816,0.0640352601480498,1.93885072358359,21.4007934039716,30.7310694890063
415,0.0166142792995061,0.0682818539111313,0.0486380655857385,0.805138933811432,10.8485996814775,7.18287890778898
416,0.00136301681054066,0,0,1.03451565532847,14.6162757726411,2.94641275843107
417,0.00528169014084507,0.0522275062318346,0.161682016675983,0.834455926783262,10.5131575264568,10.4856209526772
418,0.00502008032128514,0,0.112498982729454,0.902523721677765,28.132191035355,35.804099167834
501,0.0577854671280277,0.164660993582639,0.371243727744953,3.97730446910253,26.9568341138251,46.6017855318629
